"TRI Facility ID","Facility Name","Address","Chemical Name","Industry","Prior Year Release *","Current Year Release *","Percent Change","Pollution Prevention Information (Activity Codes/Text/[Reduction])","P2 Report"
"19112SDDSNCODE1","PHILADELPHIA NAVAL SHIPYARD (US DEPARTMENT OF DEFENSE)","S BROAD ST, PHILADELPHIA,PA 19112","Nickel","928110: National Security","580.00","0","-100%","Barriers to P2: Naval Foundry and Propeller Center (NFPC) activities are classified.",""
"98315NVLSBC8521","NAVAL BASE KITSAP BANGOR - RANGE ACTIVITIES (US DEPARTMENT OF DEFENSE)","1101 TAUTOG CIRCLE, SILVERDALE,WA 983151087","Lead","928110: National Security",".10","0","-100%","Other Environmental Practices: Recycling - A bullet trap at the small arms range was installed in 2014.  When combined with range clearing procedures, these two measures ensure that 100% of used lead rounds are recovered and recycled.  This accounts for all range lead used at Naval Base Kitsap - Bangor.",""
"96113SRRRMSIERR","US ARMY SIERRA ARMY DEPOT (US DEPARTMENT OF DEFENSE)","74 C STREET BUILDING # 63, HERLONG,CA 96113","Toluene","928110: National Security","18,353.76","500.00","-97.28%","",""
"96113SRRRMSIERR","US ARMY SIERRA ARMY DEPOT (US DEPARTMENT OF DEFENSE)","74 C STREET BUILDING # 63, HERLONG,CA 96113","Mercury","928110: National Security","2,795.00","246.00","-91.2%","",""
"96113SRRRMSIERR","US ARMY SIERRA ARMY DEPOT (US DEPARTMENT OF DEFENSE)","74 C STREET BUILDING # 63, HERLONG,CA 96113","Ethylbenzene","928110: National Security","4,007.31","750.00","-81.28%","",""
"17003SRMYFFRTIN","US ARMY NATIONAL GUARD FORT INDIANTOWN GAP-WWTP (US DEPARTMENT OF DEFENSE)","FORT INDIANTOWN GAP TRAINING SITE, ANNVILLE,PA 17003","Lead compounds","928110: National Security","16,659.60","5,872.80","-64.75%","Source Reduction: Source Reduction - Using new lead free ammunition on Ranges",""
"32544SRFRC16CES","US DOD, USAF, HURLBURT FIELD (US DEPARTMENT OF DEFENSE)","1 SOCES/CEIE BUILDING 90053, 415 INDEPENDENCE RD, HURLBURT FIELD,FL 32544","Lead","928110: National Security","277.78","133.30","-52.01%","",""
"98315NVLSBC8521","NAVAL BASE KITSAP BANGOR - RANGE ACTIVITIES (US DEPARTMENT OF DEFENSE)","1101 TAUTOG CIRCLE, SILVERDALE,WA 983151087","Lead","928110: National Security",".04",".02","-50%","Source Reduction: Source Reduction - Department of Defense policies have limited the use of lead in general-use products such as solders, adhesives and coatings for decades. To implement this policy, all products are screened for lead content prior to use.  Lead-containing products are only permitted for use as required for operational necessity.Other Environmental Practices: Recycling - All scrap metal is recycled to the maximum extent possible.",""
"13602SRMYFHQ10T","US ARMY FORT DRUM (US DEPARTMENT OF DEFENSE)","10000 10TH MOUNTAIN DIV DR, FORT DRUM,NY 13602","Lead compounds","928110: National Security","44,843.30","22,563.40","-49.68%","Source Reduction: Source Reduction - Using reduced lead ammunition when possible.",""
"94550SDSND7011E","US DOE SANDIA NATIONAL LABS/CALIFORNIA (US DEPARTMENT OF ENERGY)","7011 EAST AVE, LIVERMORE,CA 94550","Lead","928110: National Security","120.51","62.02","-48.53%","Barriers to P2: The vast majority of the lead released is from the lead bullets at the onsite firing range by the Security force. Switching to a lead free ammunition has not been approved because of firearm qualification requirements similar to ""quality requirements"".",""
"21005BRDNPSTEAP","U.S. ARMY ABERDEEN PROVING GROUND (US DEPARTMENT OF DEFENSE)","IMNE APG PWE BLDG 4304, ABERDEEN PROVING GROUND,MD 21005","Methanol","928110: National Security","99,000.00","53,665.00","-45.79%","",""
