OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
ARS,Agricultural Research Service,ARS-IDUSR-IDUSRA10,IDUSRA10,,"IDUSRA10 is an irrigation return flow monitoring station on A-10 Coulee located on private property within the Twin Falls Irrigation Tract which is managed by the Twin Falls Canal Company (TFCC), in the Upper Snake Rock watershed. This coulee is a tributary of the Snake River that only flows during the irrigation season (April-October). Water stage at a 4 ft weir is automatically recorded by a data logger operated by the Idaho Department of Water Resources (IDWR). Weekly during the irrigation season, the ARS manually collects a water quality sample, records the gage height, and records the water and air temperature.  The actual drainage area may vary due to the area encompassing the irrigation supply and irrigation return flow paths that may not correspond with the DEM.",17040212,2774,ha,,,42.5661737512,-114.323546838,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,ARS-IDUSR-IDUSRCD,IDUSRCD,,"IDUSRCD is an irrigation return flow monitoring station on Cedar Draw, a tributary of the Snake River that receives seasonal irrigation return flow and continuous flow from subsurface drainage within the Twin Falls Irrigation Tract, which is managed by the Twin Falls Canal Company (TFCC), in the Upper Snake Rock watershed.  Water stage at a rated section is automatically recorded by a data logger operated by the Idaho Department of Water Resources (IDWR).  The ARS automatically collects time-composite (5 h interval) water quality samples weekly during the irrigation season, and manually collects water quality samples weekly during the winter. Water and air temperatures and gage height are manually recorded weekly all year.  The actual drainage area may vary due to the area encompassing the irrigation supply and irrigation return flow paths that may not correspond with the DEM.",17040212,10907,ha,,,42.6537010390,-114.654130551,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,ARS-IDUSR-IDUSRDC,IDUSRDC,,"IDUSRDC is an irrigation return flow monitoring station on Deep Creek, a tributary of the Snake River that receives seasonal irrigation return flow and continuous flow from subsurface drainage within the Twin Falls Irrigation Tract, which is managed by the Twin Falls Canal Company (TFCC) in the Upper Snake Rock watershed. Water stage at a rated section is automatically recorded by a data logger operated by the ARS. The ARS automatically collects time-composite (5 h interval) water quality samples weekly during the irrigation season, and manually collects water quality samples weekly during the winter. Water and air temperatures and gage height are manually recorded weekly all year.  The actual drainage area may vary due to the area encompassing the irrigation supply and irrigation return flow paths that may not correspond with the DEM.",17040212,17345,ha,,,42.6580446100,-114.810412227,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,ARS-IDUSR-IDUSREC,IDUSREC,,IDUSREC is a sub-basin monitoring station at E Coulee just below the confluence of E2 and F1 and is located within the Twin Falls Irrigation Tract in the Upper Snake Rock watershed. Water stage in a weir (2005) or flume (2006 to present) is automatically recorded by a data logger operated by the ARS.  The data logger controls a water sampler to collect flow-composite water quality samples from April-October. Air and water temperature are manually recorded weekly when water samples are collected.,17040212,604,ha,,,42.5813126552,-114.660120494,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,ARS-IDUSR-IDUSRIC,IDUSRIC,,"IDUSRIC is an irrigation return flow monitoring station on I Coulee located on private property within the Twin Falls Irrigation Tract (TFIT) which is managed by the Twin Falls Canal Company (TFCC), in the Upper Snake Rock watershed. This coulee is a tributary of the Snake River that seasonally contains precipitation runoff and irrigation return flow, and continuous flow from subsurface drainage within the TFCC. Water stage at a 7 ft weir is automatically recorded by a data logger operated by the Idaho Department of Water Resources (IDWR).  Weekly the ARS manually collects a water quality sample, records the gage height, and records the water and air temperature all year.  The actual drainage area may vary due to the area encompassing the irrigation supply and irrigation return flow paths that may not correspond with the DEM.",17040212,2307,ha,,,42.6615333337,-114.690700000,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,ARS-IDUSR-IDUSRMC,IDUSRMC,,"IDUSRMC is an irrigation return flow monitoring station on Mud Creek, a tributary of the Snake River that receives seasonal irrigation return flow and continuous flow from subsurface drainage within the Twin Falls Irrigation Tract, which is managed by the Twin Falls Canal Company (TFCC) in the Upper Snake Rock watershed. Water stage at a rated section is automatically recorded by a data logger operated by the Idaho Department of Water Resources (IDWR).  The ARS automatically collects time-composite (5 h interval) water quality samples weekly during the irrigation season, and manually collects water quality samples weekly during the winter. Water and air temperatures and gage height are manually recorded weekly all year.  The actual drainage area may vary due to the area encompassing the irrigation supply and irrigation return flow paths that may not correspond with the DEM.",17040212,10349,ha,,,42.6593159216,-114.788703687,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,ARS-IDUSR-IDUSRMLA,IDUSRMLA,,"IDUSRMLA is a monitoring station on the Main Line irrigation canal that delivers water from April through October to the Twin Falls Irrigation Tract, which is managed by the Twin Falls Canal Company (TFCC) in the Upper Snake Rock watershed. Weekly during the irrigation season, the ARS manually collects a water quality sample and records water and air temperature. Water stage is automatically recorded at a rated section near the outlet of Murtaugh Lake, approximately 10 km upstream from this station. This canal also supplies irrigation water to the TF1 sub-basin.  This canal is an irrigation water supply line and does not correspond with a drainage area.",17040212,,,,,42.5476358308,-114.244674353,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,ARS-IDUSR-IDUSRNC,IDUSRNC,,"IDUSRNC is an irrigation return flow monitoring station on N Coulee located on private property within the Twin Falls Irrigation Tract, which is managed by the Twin Falls Canal Company (TFCC), in the Upper Snake Rock watershed. This coulee is a tributary to Salmon Falls Creek that only flows during the irrigation season (April-October). Water stage at a 5 ft weir and water temperature is automatically recorded by a data logger operated by the ARS. Weekly during the irrigation season, the ARS manually collects a water quality sample, records the gage height, and records the water and air temperature.  The actual drainage area may vary due to the area encompassing the irrigation supply and irrigation return flow paths that may not correspond with the DEM.",17040213,2632,ha,,,42.5643641289,-114.910879422,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,ARS-IDUSR-IDUSRPC1,IDUSRPC1,,IDUSRPC1 is a sub-basin monitoring station located within the Twin Falls Irrigation Tract in the Upper Snake Rock watershed. Water stage in a flume is automatically recorded by a data logger operated by the ARS. The data logger controls a water sampler to collect flow-composite water quality samples from April-October. Air and water temperature are manually recorded weekly when water samples are collected.,17040212,354,ha,,,42.5133584264,-114.364550585,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,ARS-IDUSR-IDUSRRCH,IDUSRRCH,,"IDUSRRCH is a monitoring station on Rock Creek where it crosses under the High Line Canal as it enters the Twin Falls Irrigation Tract, which is managed by the Twin Falls Canal Company (TFCC), in the Upper Snake Rock watershed. Rock Creek flows seasonally from snow melt, precipication and springs originating in the mountains south of the watershed. Water stage measured at a 10 ft weir is automatically recorded by a data logger operated by the ARS. The ARS manually collects water quality samples and records the water and air temperature and gage height weekly when the creek is flowing.  This creek, at this location, does not correspond with a drainage area within the TFIT.",17040212,,,,,42.4361333331,-114.299233333,,,,,NAD83,,,,,,,US,16,083,,,,,,,,,STEWARDS
